x_left,x_right,x_center,empirical_density
-3.216962,-2.793173,-3.005067,0.002360
-2.793173,-2.369385,-2.581279,0.014158
-2.369385,-1.945596,-2.157490,0.040114
-1.945596,-1.521807,-1.733702,0.089667
-1.521807,-1.098019,-1.309913,0.162817
-1.098019,-0.674230,-0.886125,0.271362
-0.674230,-0.250442,-0.462336,0.361029
-0.250442,0.173347,-0.038548,0.389345
0.173347,0.597135,0.385241,0.358669
0.597135,1.020924,0.809029,0.287879
1.020924,1.444712,1.232818,0.176975
1.444712,1.868501,1.656606,0.101466
1.868501,2.292289,2.080395,0.070790
2.292289,2.716078,2.504183,0.018877
2.716078,3.139866,2.927972,0.014158
